"","ObjectID","Proposed.Management.Action","Strategy","Scale","Resources","Data.Requirements","Lead.Organisation","Potential.Partners","Capital.Cost","In.Kind.Contributions","Maintainance.Required","Annual.Cost","Funding.Available","Completion.Date","District","Costing.Certainty","Funding.Shortfall","Funding_Status_TRUE","Shortfall_Captial","Shortfall_In.Kind","Shortfall_Annual","Conditioned_Total_Costings","Combined_Costings","Choosing.the.Costing.Variable","Filtered_Costings_Data"
"283",2262,"O","Staff must be trained to trap and humanely dispatch any captured mink in accordance with the law and best practice.","4","","","Nith Catchment Fishery Trust/ Nith District Salmon Fishery Board","Landowners, Volunteers",1000,20000,"No",21000,"Funding Secured","Annual","Nith","Very Confident",0,"Funded","No","No","No",42000,42000,42000,42000
"287",7175,"O","Continuation of targeted Giant Hogweed control to support extensive River Ayr strategy","1","","","Scottish Government","ART, River Ayr DSFB",NA,NA,"",7000,"Partially Funded","More than 5 Years","Ayr","Very Confident",1000,"Funded","No","No","No",8000,7000,8000,8000
"288",2267,"F","Place water quality and water temperature probes at specific locations within Nith catchment.  Liaise with Landowners/SEPA regarding any issues detected. ","4","","","Nith District Salmon Fishery Board/Nith Catchment Fishery Trust","Vodaphone Business, Glasgow University, Marine Directorate",50000,10000,"Yes",15000,"Partially Funded","Annual","Nith","Very Confident",75000,"Funded","No","No","No",150000,75000,150000,150000
"289",2268,"F","Identify and record any sources of pollution. Report to SEPA’s Pollution hotline.","5","","","Nith District Salmon Fishery Board/Nith Catchment Fishery Trust","SEPA, NatureScot, Landowners, Anglers, Volunteers",5000,10000,"No",10000,"Partially Funded","Annual","Nith","Very Confident",0,"Funded","No","No","No",25000,25000,25000,25000
"290",2269,"N","Raise awareness amongst local anglers and groups. Promote the use of FMS disease apps to report disease. Advise owners on safe management of their fishings. Liaise with Fish Health Inspectorate regarding any outbreaks. Work with universities to collect samples for research.","5","Fish health and disease - Fisheries Management Scotland (fms.scot)","","Nith Catchment Fishery Trust/Nith District Salmon Fishery Board","FMS, Marine Directorate, NatureScot, owners of fishing, anglers, Universities.",17500,10000,"No",10000,"Funding Secured","Within 4 Years","Nith","Very Confident",0,"Funded","No","No","No",37500,37500,37500,37500
"297",2276,"L","SLRT will work with other Fisheries Trusts and local aquaculture operators to familiarise themselves with the common markers of gill disease. The data will be shared with relevant stakeholders.","5","","Staff training is needed to identify common markers of gill disease","SLRT","Government regulators, local aquaculture industry, this would link into sea lice monitoring",0,0,"Yes",0,"Funding Secured","Annual","Skye","Very Confident",0,"Funded","No","No","No",0,0,0,NA
"298",2277,"L","SLRT will identify key river system to monitor smolt movement and numbers. Apply for funding to cover staff time and equipment costs, some of which should come from local proprietors. Each river will be monitored annually and the data will feed into a long term dataset.","4","","Identify key catchments to monitor","SLRT","river proprietors and local relevant aquaculture industry",12000,0,"No",10000,"Partially Funded","Annual","Skye","Very Confident",6000,"Funded","No","No","No",28000,22000,28000,28000
"299",7177,"B","Stair Weir , ART, SEPA and the owner of the structure are in discussion and expect timber baulks will be added to improve fish passage in early 2023.","1","","","Ayrshire Rivers Trust","Landowners, SEPA and DSFB",5000,NA,"Yes",1000,"Partially Funded","Within 1 Year","Ayr","Very Confident",1000,"Funded","No","No","Yes",NA,6000,6000,6000
"300",7178,"B","Addition of a further baffle section is required and timber baulks to be added to the side walls. Cutting a notch in the crest of the weir towards the left bank will improve salmon migtation. ART will work with the esate to complete this.","1","","","Ayrshire Rivers Trust","Landowners, SEPA and DSFB",6500,NA,"Yes",1200,"Partially Funded","Within 1 Year","Ayr","Very Confident",1200,"Funded","No","No","Yes",NA,7700,7700,7700
"301",2280,"N","Develop and fund several programme curriculums that will run annually and provide opportunities for students to learn about their native fish species and their habitats.","5","","","SLRT","Local Schools",12000,3000,"Yes",12000,"Partially Funded","Annual","Skye","Very Confident",6000,"Funded","No","No","No",33000,27000,33000,33000
"313",7214,"B","Investigate the collapsed culvert apron on Rose burn and restore fish passage. Design and construct a solution to improve fish migration including timber baffle installation.","1","","","SEPA","Ayrshire Rivers Trust,  Landowners and DSFB",6000,NA,"Yes",500,"Unfunded","Within 5 Years","Ayr","Very Confident",6500,"Unfunded","No","No","No",13000,6500,13000,13000
"314",7260,"L","Carry out eDNA sampling, Data loggers in tributary burns to monitor acidification from frorestry.","1","","","NatureScot","Ayrshire Rivers Trust, DRAX, DSFB",6000,NA,"Yes",NA,"Unfunded","More than 5 Years","Doon","Very Confident",6000,"Unfunded","Yes","No","No",NA,6000,6000,6000
"316",7316,"Q","Provide stock proof fencing to protect buffers and allow natural regeneration of crab apple trees.","1","","","DFSB","DSFB, Landowner and Ayrshire Rivers Trust",11000,NA,"No",NA,"Unfunded","More than 5 Years","Girvan","Very Confident",11000,"Unfunded","Yes","No","No",NA,11000,11000,11000
"318",2297,"R","1) Capture broodstock from appropriate locations on the spey 2) Collect eggs and raise to eyed ova in the hatchery 3) Plant out ova above anthropogenic barriers","5","https://academic.oup.com/icesjms/article/78/10/3479/6425092?login=false","Map of all impassable anthropogenic barriers in the catchment","SFB","",0,60000,"Yes",60000,"Unfunded","Annual","Spey","Very Confident",60000,"Unfunded","No","Yes","Yes",NA,120000,120000,120000
"322",7319,"Q","Provide stock proof fencing to protect buffers and plant them with locally sourced broadleaf trees.","1","","","Ayrshire Rivers Trust","Landowners, DSFB",24600,NA,"No",NA,"Unfunded","More than 5 Years","Girvan","Very Confident",24600,"Unfunded","Yes","No","No",NA,24600,24600,24600
"323",2302,"E","1) To conduct regular surveys of the Spey to check anglers have an appropriate permit 2) Investigate reports of poaching made by members of the public 3) To refine the standards of water bailiff training on the Spey to match the needs of the modern day","5","","","SFB","",0,161000,"Yes",0,"Unfunded","Annual","Spey","Very Confident",161000,"Unfunded","No","Yes","No",NA,161000,161000,161000
"327",2306,"O","1) Map the current extent of Giant Hogweed 2) Control Giant Hogweed through spraying 3) Conduct walkover surveys in subsequent years to judge the amount of control required","4","https://www.invasivespecies.scot/giant-hogweed","","SFB","SISI",6000,3000,"Yes",0,"Funding Secured","Annual","Spey","Very Confident",0,"Funded","No","No","No",9000,9000,9000,9000
"328",2307,"O","1) Map the current extent of Japanese Knotweed 2) Control Japanese Knotweed through spraying 3) Conduct walkover surveys in subsequent years to judge the amount of control required","4","https://www.invasivespecies.scot/index.php/japanese-knotweed","","SFB","SISI",6000,3000,"Yes",0,"Funding Secured","Annual","Spey","Very Confident",0,"Funded","No","No","No",9000,9000,9000,9000
"329",2308,"O","1) Maintain volunteer network of mink rafts 2) Deploy mink traps when required","5","https://www.invasivespecies.scot/mink-control-project","Mink raft monitoring is dependant on volunteer action","SFB","",3000,900,"Yes",0,"Funding Secured","Annual","Spey","Very Confident",0,"Funded","No","No","No",3900,3900,3900,3900
"331",7320,"Q","Provide stock proof fencing to protect buffers and allow natural regeneration of broadleaf trees.","1","","","Ayrshire Rivers Trust","Landowners, DSFB",27000,NA,"No",NA,"Unfunded","More than 5 Years","Girvan","Very Confident",27000,"Unfunded","Yes","No","No",NA,27000,27000,27000
"336",2315,"N","1) Canvass for donations for the auction 2) Promote the auction on an annual basis 3) Utilise funds raised to continue conservation activities","5","https://www.riverspey.org/news/the-river-spey-auction-is-now-live/","","SFB","",0,2500,"Yes",0,"Unfunded","Annual","Spey","Very Confident",2500,"Unfunded","No","Yes","No",NA,2500,2500,2500
"337",7321,"Q","Provide stock proof fencing to protect buffers and plant them with locally sourced broadleaf trees.","1","","","Ayrshire Rivers Trust","Landowners, DSFB",22000,NA,"No",NA,"Unfunded","More than 5 Years","Girvan","Very Confident",22000,"Unfunded","Yes","No","No",NA,22000,22000,22000
"339",2318,"L","1) Survey the mainstem spey annually 2) Survey tribuatries on a 3 year rotation 3) Survey stocking sites annually 4) Survey restoration sites annually","5","","","SFB","",3000,27000,"Yes",27000,"Unfunded","Annual","Spey","Very Confident",30000,"Unfunded","No","No","No",87000,57000,87000,87000
"342",2321,"J","1) Conduct regular sawbill duck counts throughout the mainstem  2) Establish volunteer led sawbill duck counts on tribuatries of the Spey 3) Use count data to obtain a licence to control sawbill ducks on the Spey","5","","","SFB","",500,2500,"Yes",0,"Unfunded","Annual","Spey","Very Confident",3000,"Unfunded","No","No","No",6000,3000,6000,6000
"343",2322,"J","1) To obtain licences to control sawbill ducks for multiple individuals throughout the catchment 2) To control Sawbill duck counts within the limit of the licence granted 3) To participate in any piscivourous birds studies when requested","5","","Population estimates of Sawbill Ducks on the Spey","SFB","",0,500,"Yes",0,"Unfunded","Annual","Spey","Very Confident",500,"Unfunded","No","Yes","No",NA,500,500,500
"352",7322,"Q","Provide stock proof fencing to protect buffers and plant them with locally sourced broadleaf trees.","1","","","Landowner","Landowners, DSFB, Ayrshire Rivers Trust",18300,NA,"No",NA,"Unfunded","More than 5 Years","Girvan","Very Confident",18300,"Unfunded","Yes","No","No",NA,18300,18300,18300
"365",7323,"Q","Provide stock proof fencing to protect buffers and plant them with locally sourced broadleaf trees.","1","","","Ayrshire Rivers Trust","Landowners, DSFB",112884,NA,"No",NA,"Unfunded","More than 5 Years","Girvan","Very Confident",112884,"Unfunded","Yes","No","No",NA,112884,112884,112884
"369",7336,"G","Provide stock proof fencing to protect buffers and plant them with locally sourced broadleaf trees. Add large woody debris to create instream diversity","1","","","Ayrshire Rivers Trust","Landowners, DSFB",15280,NA,"No",NA,"","","Girvan","Very Confident",15280,"Unfunded","Yes","No","No",NA,15280,15280,15280
"372",7337,"G","Provide stock proof fencing to protect buffers and plant them with locally sourced broadleaf trees. Add large woody debris to create instream diversity","1","","","Ayrshire Rivers Trust","Landowners, DSFB",22520,NA,"No",NA,"","","Girvan","Very Confident",22520,"Unfunded","Yes","No","No",NA,22520,22520,22520
"373",7342,"F","Install stock proof fencing and plant native broad leaf trees. Removal of tree guards when trees reach sufficient size","1","","","Ayrshire Rivers Trust","Landowners, DSFB",22800,NA,"Yes",NA,"Unfunded","Within 5 Years","Girvan","Very Confident",7840,"Unfunded","No","No","No",30640,22800,30640,30640
"374",7356,"","Installation of stockproof fencing, planting of native broadleaf trees and removal of tree guards once a sufficent  size has been reached. Removal of woody debris that act as blaockages to fish migration up and down stream.","1","","","Ayrshire Rivers Trust","Landowners, DSFB",18400,NA,"No",NA,"Unfunded","Within 5 Years","Girvan","Very Confident",18400,"Unfunded","Yes","No","No",NA,18400,18400,18400
"375",7357,"","Install stock proof fencing to allow natural regeneration of broadleaf trees to occur in the riparian zone. On upper tributaty plant native broadleafe trees with heavy duty stakes and guards but no fencing. Removal of tree guards once trees reach sufficie","1","","","Ayrshire Rivers Trust","Landowners, DSFB",26840,NA,"No",NA,"Unfunded","Within 5 Years","Girvan","Very Confident",26840,"Unfunded","Yes","No","No",NA,26840,26840,26840
"376",7379,"B","Full or partial removal of the weir. Design and construct a solution to improve fish migration.","1","","","Ayrshire Rivers Trust","SEPA, Local Authority, angling club, ART",15000,NA,"No",NA,"Unfunded","Within 5 Years","Irvine and Garnock","Very Confident",15000,"Unfunded","Yes","No","No",NA,15000,15000,15000
"377",2356,"D","Continue lobbying the Scottish Government and Agencies to ensure that the possible affects on migrating fish are understood and mitigating against.","5","","We would need evidence that EMF will not affect migratory fish. The UDSFB have already requested evidence from the developers that migratory fish runs will not be adversly affected.","Ugie DSFB","Fisheries Management Scotland, Marine Scotland'Member of the Scottish Parliament.",0,5000,"No",0,"Unfunded","Within 1 Year","Ugie","Very Confident",0,"Unfunded","No","No","No",NA,5000,5000,5000
"378",2357,"H","Question developers on planning applications and to provide guidance during planning and construction to help protect the River and life in it.","4","","Ugie District Planning Applications","Ugie DSFB","Ugie Angling Association, Fisheries Management Scotland, Marine Scotland,Aberdeenshire Council, SEPA.",0,2500,"No",0,"Unfunded","Annual","Ugie","Very Confident",0,"Unfunded","No","No","No",NA,2500,2500,2500
"497",2480,"D","Routinely download the temperature loggers as part of the SRTMN project. Deploy temperature loggers throughout the catchment and create a specifc management plan for each group of loggers.","5","https://www.gov.scot/publications/scotland-river-temperature-monitoring-network-srtmn/","","KoSDSFB","Marine Scotland , Forestry Land Scotland (FLS), Local Estates",7000,5000,"Yes",5000,"Partially Funded","Annual","Kyle of Sutherland","Very Confident",7000,"Funded","Yes","No","No",NA,17000,17000,17000
"498",2481,"E","Implement a strategy with bailiffs for effective policing of the district.","5","","","KoSDSFB","Police Scotland, IFM, FMS",40000,40000,"Yes",100000,"Funding Secured","Annual","Kyle of Sutherland","Very Confident",0,"Funded","No","No","No",180000,180000,180000,180000
"500",2483,"J","Liase with staff members and ghillies to conduct a seasonal piscivorous bird count and assign each participant with a catchment/river to collect the data from. The Director will then collate the data and submit it to NatureScot.","5","https://www.nature.scot/doc/licence-application-form-fish-eating-birds","https://www.nature.scot/sites/default/files/2019-12/Guidance%20-%20fish-eating%20bird%20licence%20applications.pdf","KoSDSFB","NatureScot, River workers",2500,2500,"No",2500,"Funding Secured","Annual","Kyle of Sutherland","Very Confident",0,"Funded","No","No","No",7500,7500,7500,7500
"505",7385,"B","Install baffles on crest of the weir to concentrate flows and improve fish passage. ","1","","","Ayrshire Rivers Trust","SEPA, Angling Club, North Ayrshire Council, Scottish Water",10000,NA,"Yes",1000,"Unfunded","Within 5 Years","Irvine and Garnock","Very Confident",11000,"Unfunded","No","No","No",22000,11000,22000,22000
"508",7388,"B","Visit site and perform visual and/or SNIFFER assessment.","1","","SNIFFER assessment?","North Ayrshire Council ","North Ayrshire Council roads department, SEPA, Ayrshire Rivers Trust",NA,NA,"Yes",NA,"Unfunded","More than 5 Years","Irvine and Garnock","Very Confident",1500,"Unfunded","No","No","No",1500,0,1500,1500
"518",7389,"B","Retrofit baffles and maintain the structure and continued fish passage.","1","","","Ayrshire Rivers Trust","",5000,NA,"Yes",1000,"Funding Secured","Within 1 Year","Irvine and Garnock","Very Confident",6000,"Funded","No","No","No",12000,6000,12000,12000
"523",7392,"B","Lariner Fish Pass installed 2018","1","","","Ayrshire Rivers Trust","SEPA, Landowner",NA,NA,"Yes",1000,"Funding Secured","","Irvine and Garnock","Very Confident",1000,"Funded","No","No","Yes",NA,1000,1000,1000
"524",7393,"B","Fish Pass Installed 2018","1","","","Ayrshire Rivers Trust","SEPA, Local Authority",NA,NA,"Yes",500,"Funding Secured","","Irvine and Garnock","Very Confident",500,"Funded","No","No","Yes",NA,500,500,500
"527",2859,"O","Annual eradication effort at specific times of the year","4","Reports to LLTNP","","Loch Lomond Fisheries Trust","Landowners / Loch Lomond and Trossachs National Park /  Loch Lomond Angling Improvement Association / Local community councils / Local outdoor groups /",15000,0,"Yes",15000,"Partially Funded","More than 5 Years","Loch Lomond","Very Confident",15000,"Funded","Yes","No","Yes",NA,30000,30000,30000
"530",2862,"O","Annual eradication effort at specific times of the year","4","Reports to LLTNP","","Loch Lomond Fisheries Trust","Landowners / Loch Lomond and Trossachs National Park /  Loch Lomond Angling Improvement Association / Local community councils / Local outdoor groups /",15000,0,"Yes",15000,"Partially Funded","More than 5 Years","Loch Lomond","Very Confident",15000,"Funded","Yes","No","Yes",NA,30000,30000,30000
"578",7394,"B","Investigate the barrier and restore fish passage if possible. Full or partial removal of the weir.","1","","","Ayrshire Rivers Trust","Landowner, angling club, SEPA",5000,NA,"No",500,"Unfunded","Within 5 Years","Irvine and Garnock","Very Confident",5500,"Unfunded","No","No","No",11000,5500,11000,11000
"579",7405,"B","Install baffles on crest of the weir to concentrate flows and improve fish passage.","1","","","Ayrshire Rivers Trust","North Ayrshire Council and SEPA",6000,NA,"Yes",500,"Unfunded","Within 5 Years","Irvine and Garnock","Very Confident",6500,"Unfunded","No","No","No",13000,6500,13000,13000
"582",7407,"B","Investigate, monitor and assess impacts on fish migration. Use information gathered during assessment to design a management option that would increase fish migration success and reduce poaching.","1","","","Ayrshire Rivers Trust","Owner of weir, SEPA",3000,NA,"No",NA,"Unfunded","More than 5 Years","Irvine and Garnock","Very Confident",3000,"Unfunded","Yes","No","No",NA,3000,3000,3000
"583",7408,"B","Investigate, monitor and assess impacts on fish migration. Use information gathered during assessment to design a management option that would increase fish migration success and reduce poaching.","1","","","Ayrshire Rivers Trust","Owner of weir, SEPA",2500,NA,"No",NA,"Unfunded","More than 5 Years","Irvine and Garnock","Very Confident",2500,"Unfunded","Yes","No","No",NA,2500,2500,2500
"584",2916,"J","Use the SISI project volunteers to monitor American mink throughout the catchment and when detected deploy traps and remove.","4","https://www.invasivespecies.scot/mink-control-project","American mink distribution throughout catchment","SISI - NatureScot","DBIRT",79387.97,10234,"No",0,"Funding Secured","Within 3 Years","Deveron","Very Confident",0,"Funded","No","No","No",89621.97,89621.97,89621.97,89621.97
"587",2919,"O","Update and promote the Deveron Biosecurity plan to reduce spread. The SISI Project will control monitor and remove giant hogweed, Japanese Knotweed and Himalayan Balsam by engaging volunteers and landowners to control plants in a long term sustainable strategy.","4","https://www.invasivespecies.scot/","Distrubtion of INNS plants and chnages after treatment","SISI - NatureScot","DBIRT",79387.97,10234,"No",0,"Funding Secured","Within 3 Years","Deveron","Very Confident",0,"Funded","No","No","No",89621.97,89621.97,89621.97,89621.97
"594",2926,"E","Work with SEPA to ensure strict regulation of potential sources of point source pollution. Monitor catchment for pollution sources and potential risk sites.","4","https://www.legislation.gov.uk/ssi/2011/209/contents/made","Potential sites of risk","DBIRT","Deveron DSFB, SEPA",0,1684,"No",0,"Partially Funded","Annual","Deveron","Very Confident",0,"Funded","No","No","No",1684,1684,1684,1684
"601",7409,"B","Investigate, monitor and assess impacts on fish migration. Use information gathered during assessment to design a management option that would increase fish migration success and reduce poaching.","1","","","Ayrshire Rivers Trust","Owner of weir, SEPA",3000,NA,"No",NA,"Unfunded","More than 5 Years","Irvine and Garnock","Very Confident",3000,"Unfunded","Yes","No","No",NA,3000,3000,3000
"637",2969,"E","Maintain overt and covert patrols of vulnerable locations to deter or detect any illegal fishing activity.Drone surveillance where possible. Use of canoe, boat patrols where possible. Liaise with police scotland an partner organisations. Maintain accurate recording of all incidents. Liaise with neighbouring fishery boards. Raise public awareness and encourage active reporting of illegal activity.","5","Reference to previous incidents with regard to illegal activities - Bailliff reports","Previous bailiff reports","NDSFB","Police Scotland                                                                                                                                               Marine Scotland                                                                                                                                                  Fisheries Protection                                                                                                                                                       FMS                                                                                                                                                                      Local Communities",4000,0,"No",60000,"Funding Secured","Annual","Ness","Very Confident",0,"Funded","No","No","No",64000,64000,64000,64000
"638",7410,"B","Investigate, monitor and assess impacts on fish migration. Use information gathered during assessment to design a management option that would improve fish migration if deemed necessary. ","1","","","Ayrshire Rivers Trust","Owner of weir, SEPA",9000,NA,"No",NA,"Unfunded","More than 5 Years","Irvine and Garnock","Very Confident",9000,"Unfunded","Yes","No","No",NA,9000,9000,9000
"639",2971,"E","Ensure that Ness conservation policy is reviewed annually, published and promoted. Promote continuation of voluntary catch and release.    Pilot a voluntary and incentivised Sea Trout log book scheme to encourage submissions of returns from estuary and Ness Tidal waters. Progress esturial netting station buyout.","5","Proprietors catch returns                                   National statistics","","NDSFB","Local angling community                                                                                                                                         Fishery Proprietors                   Scottish Government                                                                                                                                 Marine Scotland                                                                                                                                                                  FMS",0,0,"Yes",350,"Funding Secured","Annual","Ness","Very Confident",0,"Funded","No","No","No",350,350,350,350
"640",2972,"J","Promote use of FMS Seal Sighting App for reporting all seal sightings in the freshwater reaches of the Ness system.                                Explore non-lethal methods to deter seal predation.                                                                                              Review, maintain and implement Moray Firth Seal management plan.                                                          Participate in the Atlantic Salmon Trust led MorayFirth tracking project to help identify pinch points.    Participate in the Atlantic Salmon Trust led Moray Firth tracking project EDNA salmon predator scat collection","5","","","NDSFB","Marine Scotland                                                                                                                                                            Sea Mammal research Unit                                                                                                                                         Local angling community                                                                                                                                           fishery proprietors                                                                                                                                                     Atlantic Salmon Trust",5000,0,"Yes",7000,"Funding Secured","","Ness","Very Confident",0,"Funded","No","No","No",12000,12000,12000,12000
"641",2973,"J","Explore non=lethal methods to deter bird predation                                                                                                 Explore new ways to carry out timely pisciverous bird counts on Loch Ness to support annual management licence application.                                                                                                                                                                    Submit annual pisciverous bird management licence application to Naturescot in partnership with Moray Firth Predator Group.                                                                                                                                                              Participate in Atlantic Salmon Trust led Moray Firth tracking Project EDNA salmon predator scat collection.                                                                                                                                                             Participate in Atlantic salmon Trust led Moray Firth tracking project to help identify pinch points.","5","Annual bird counts","Annual bird counts","NDSFB","Atlantic Salmon Trust                                                                                                                                             Naturscot                                                                                                                                                                     Moray Firth Predator Group                                                                                                                                                       Fishery Proprietors                                                                                                                                                         Local Angling Community",0,0,"Yes",4500,"Funding Secured","Annual","Ness","Very Confident",0,"Funded","No","No","No",4500,4500,4500,4500
"645",2977,"L","Continue to engage constructively with operators to encourage best practices, reporting of escapees, and to promote the use of closed containment systems.                                                                                                   Participate in the MOWI Introgression project to make an assessment of the current baseline levels of introgression across the Ness system allowing any change to be monitored and any actions to be implemented.","5","Fish farm Stocking Records                                         Genetic Analysis reports","Genetic analysis reports   SEPA Records                        Fish Farm Stocking Records","NDSFB","SEPA                                                                                                                                                                                 Fish Health Inspectorate                                                                                                                                           MOWI                                                                                                                                                                                 UHI - Rivers and Lochs Institute",0,0,"Yes",6500,"Funding Secured","Annual","Ness","Very Confident",0,"Funded","No","No","No",6500,6500,6500,6500
"646",2978,"O","Continue to enforce legislation relating to the use of live vertebrates as bait and also that relating to the introduction of fish without consent.   Engage with angling community to raise awreness of the risks of non-native fish species.                                                                                                                          Assess the potential impacts of minnow, Pike and perch on native fish populations and consider possible management actions.                                                                                                                                                           Work with others to use historical records and emerging eDNA techniques to ascertain whether pike are native to the Ness system or, if not, when they were likely to have been introduced.","5","Historical Records","EDNA analysis       Genetic analysis","NDSFB","SEPA                                                                                                                                                                            Marine Scotland                                                                                                                                                                 UHI Rivers & Lochs Institute                                                                                                                                      RSPB                                                                                                                                                                         University of Glasgow                                                                               Angling clubs",0,0,"Yes",1000,"Unfunded","Annual","Ness","Very Confident",0,"Unfunded","No","No","No",NA,1000,1000,1000
"647",2979,"O","Develop an effective network of volunteers to assist with mink control via the Scottish Invasive Species . Initiative (SISI). Deploy mink monitoring rafts to establish if mink is present in an area. Once mink is detected, set traps and humanely despatch offending mink. Control has been inititiated as part of the Scottish Invasive Species (SISI) project,","5","SISI Reporting Tool                                                       Historical Sightings                                                      Public Reporting                                           Volunteer Participation","","SISI","SEPA                                                                                                                                                                 NatureScot                                                                                                                                                           SISI Project                                                                                                                                                                 Local community groups",0,0,"Yes",5000,"Funding Secured","Annual","Ness","Very Confident",0,"Funded","No","No","No",5000,5000,5000,5000
"648",2980,"O","Plant control at a catchment scale so all the plants are controlled and potential source of infestation are removed.                                                                                                                                                                     Develop an effective network of volunteers to assist with plant control via the Scottish Invasive Species Initiative. (SISI)                                                                                                                                                                          Monitor sites treated to ascertain levels of success.                                                                                                                                                 Control began in 2018 as part of the SISI and is ongoing.","5","SISI Reporting Tool                                                       Historical Sightings                                                      Public Reporting                                           Volunteer Participation","","SISI","SISI project                                                                                                                                                                     Local Community Groups                                                                                                                                   Naturescot",0,0,"Yes",5000,"Funding Secured","Annual","Ness","Very Confident",0,"Funded","No","No","No",5000,5000,5000,5000
"649",2981,"O","Maintain high levels of awareness.                                                                                                                               Review and update the Ness district ‘Biosecurity Plan’.                                                                                       Encourage the development of preventative biosecurity measures for anglers and other river users","5","Current Biosecurity Plan                                              SISI Reporting Tool                                                       Public Reporting","","NDSFB","SEPA                                                                                                                                                                   Naturescot                                                                                                                                                                 SISI Project                                                                                                                                                              Fisheries Management Scotland                                                                                                                              Marine Scotland                                                                                                                                                             Local community groups",0,0,"Yes",5000,"Funding Secured","Annual","Ness","Very Confident",0,"Funded","No","No","No",5000,5000,5000,5000
"650",2982,"O","Annual plant control at a catchment scale so all the plants are removed and there is nothing left to re-infest rivers downstream.                                                                                                                                                                    Develop an effective network of local volunteers to assist with invasive non-native plant control via the Scottish Invasive Species Initiative (SISI).","4","SISI Reporting Tool                                                       Historical Sightings                                                      Public Reporting                                           Volunteer Participation","","SISI","SEPA                                                                                                                                                                 NatureScot                                                                                                                                                                      SISI Project                                                                                                                                                                             Local community groups.",0,0,"Yes",5000,"Funding Secured","Annual","Ness","Very Confident",0,"Funded","No","No","No",5000,5000,5000,5000
"651",2983,"O","Annual plant control at a catchment scale so all the plants are removed and there is nothing left to re-infest rivers downstream.                                                                                                                                                                    Develop an effective network of local volunteers to assist with invasive non-native plant control via the Scottish Invasive Species Initiative (SISI).","4","SISI Reporting Tool                                                       Historical Sightings                                                      Public Reporting                                           Volunteer Participation","","SISI","SEPA                                                                                                                                                                 NatureScot                                                                                                                                                                      SISI Project                                                                                                                                                                             Local community groups.",0,0,"Yes",5000,"Funding Secured","Annual","Ness","Very Confident",0,"Funded","No","No","No",5000,5000,5000,5000
"660",7411,"B","Monitor and assess impacts of weir on fish migration and sediment transport. Consultation with SEPA is essential over any potential hydro-scheme developments.","1","","","Ayrshire Rivers Trust","SEPA, owner of structure",3000,NA,"No",NA,"Unfunded","More than 5 Years","Irvine and Garnock","Very Confident",3000,"Unfunded","Yes","No","No",NA,3000,3000,3000
"661",7412,"B","Feasability study is required","1","","Ownership","Ayrshire Rivers Trust","SEPA",15000,NA,"No",NA,"Unfunded","More than 5 Years","Irvine and Garnock","Very Confident",15000,"Unfunded","Yes","No","No",NA,15000,15000,15000
"662",7414,"B","Provide a non technical fish pass solution to improve migration over the weir ","1","","","Ayrshire Rivers Trust","SEPA, East Ayrshire Council, Owner of weir",NA,NA,"Yes",NA,"Unfunded","Within 5 Years","Irvine and Garnock","Very Confident",10000,"Unfunded","No","No","No",10000,0,10000,10000
"675",3007,"E","Maintain overt and covert shore-based patrols of vulnerable areas to deter or detect any illegal activity. Increase frequency of overt boat patrols. This may involve hiring a suitable vessel on a regular basis. Raise public awareness of illegal activity and encourage active reporting. Encouraging the use of a standard permit system by Loch Ness proprietors. Educational campaign to encourage shore anglers to comply with the legislation, followed by proactive enforcement action","4","","","NDSFB","Police Scotland                                                                                                                                                                      Fishery Proprietors                                                                                                                                                          Local Angling Community",0,0,"Yes",60000,"Funding Secured","Annual","Ness","Very Confident",0,"Funded","No","No","No",60000,60000,60000,60000
"681",7417,"B","Consider options for upgrading the ford to full span of river bridge or larger embedded culvert.","1","","","Ayrshire Rivers Trust","Ayrshire Roads Alliance, Kilmarnock Angling Club",15000,NA,"Yes",500,"Unfunded","More than 5 Years","Irvine and Garnock","Very Confident",15000,"Unfunded","Yes","No","No",NA,15500,15500,15500
"702",7419,"B","Consider options for improving migration over this weir.","1","","","Ayrshire Rivers Trust","Local Authority, SEPA",NA,NA,"Yes",NA,"Unfunded","More than 5 Years","Irvine and Garnock","Very Confident",10000,"Unfunded","No","No","No",10000,0,10000,10000
"703",3035,"D","Continue to engage constructively with MOWI to encourage best practice, reporting of escapes and to promote the use of closed containment systems. Participate in the ‘MOWI Genetic Introgression Project’ to make an assessment of the current baseline levels of introgression across the Ness system, allowing any change to be monitored on an ongoing basis.","4","","","NDFSB","SEPA, Fish Health Inspectorate, MOWI, UHI Rivers & Lochs Institute.",0,0,"Yes",6500,"Funding Secured","More than 5 Years","Ness","Very Confident",0,"Funded","No","No","No",6500,6500,6500,6500
"708",3040,"Q","Consult with Scotland River Temperature Monitoring Network (SRTMN) data to predict river temperature and sensitivity to climate change. Establish where maximum river temperatures are likely to occur and so which parts of the river are likely to be the most heavily impacted. This will allow targeted planting/regeneration of riparian woodland. Utilise existing Forest Management Plan consultation processes and receptive landowners to restore riparian woodland.","4","SRTMN                                                                            Forest Management Plan","SRTMN                                                                            Forest Management Plan","NDFSB","Marine Scotland, NatureScot, FLS, Landowners, Trees for Life, Riverwoods project",0,0,"No",2000,"Funding Secured","More than 5 Years","Ness","Very Confident",0,"Funded","No","No","No",2000,2000,2000,2000
